corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
chuq,neutron_elastic,neutron,40,20,40Ca,13.905,,12996002,,20
chuq,neutron_elastic,neutron,40,20,40Ca,16.916,,12996002,,20
chuq,neutron_elastic,neutron,0,20,natCa,11.01,,10633005,,20
chuq,neutron_elastic,neutron,51,23,51V,11.01,,10633006,,20
chuq,neutron_elastic,neutron,54,26,54Fe,9.94,,10958002,,20
chuq,neutron_elastic,neutron,54,26,54Fe,11.0,,12862002,,20
chuq,neutron_elastic,neutron,54,26,54Fe,13.92,,10958002,,20
chuq,neutron_elastic,neutron,54,26,54Fe,20.0,,12862002,,20
chuq,neutron_elastic,neutron,54,26,54Fe,22.0,,12862002,,20
chuq,neutron_elastic,neutron,54,26,54Fe,24.0,,12862002,,20
chuq,neutron_elastic,neutron,54,26,54Fe,26.0,,12862002,,20
chuq,neutron_elastic,neutron,55,25,55Mn,11.01,,10633007,,20
chuq,neutron_elastic,neutron,56,26,56Fe,11.0,,12862003,,20
chuq,neutron_elastic,neutron,56,26,56Fe,20.0,,12862003,,20
chuq,neutron_elastic,neutron,56,26,56Fe,26.0,,12862003,,20
chuq,neutron_elastic,neutron,58,28,58Ni,9.958,,12930002,,20
chuq,neutron_elastic,neutron,58,28,58Ni,13.941,,12930002,,20
chuq,neutron_elastic,neutron,59,27,59Co,11.01,,10633009,,20
chuq,neutron_elastic,neutron,60,28,60Ni,9.958,,12930004,,20
chuq,neutron_elastic,neutron,60,28,60Ni,13.941,,12930004,,20
chuq,neutron_elastic,neutron,65,29,65Cu,9.94,,10958008,,20
chuq,neutron_elastic,neutron,65,29,65Cu,13.92,,10958008,,20
chuq,neutron_elastic,neutron,88,38,88Sr,11.0,,10729004,,20
chuq,neutron_elastic,neutron,89,39,89Y,11.0,,12774002,,20
chuq,neutron_elastic,neutron,89,39,89Y,11.0,,12790002,,20
chuq,neutron_elastic,neutron,90,40,90Zr,11.0,,10729002,,20
chuq,neutron_elastic,neutron,92,42,92Mo,11.0,,10729007,,20
chuq,neutron_elastic,neutron,92,42,92Mo,11.0,,10867002,,20
chuq,neutron_elastic,neutron,92,42,92Mo,11.01,,10633012,,20
chuq,neutron_elastic,neutron,92,42,92Mo,20.0,,10867002,,20
chuq,neutron_elastic,neutron,92,42,92Mo,26.0,,10867002,,20
chuq,neutron_elastic,neutron,93,41,93Nb,11.01,,10633011,,20
chuq,neutron_elastic,neutron,96,42,96Mo,11.0,,10867003,,20
chuq,neutron_elastic,neutron,96,42,96Mo,11.01,,10633013,,20
chuq,neutron_elastic,neutron,96,42,96Mo,20.0,,10867003,,20
chuq,neutron_elastic,neutron,96,42,96Mo,26.0,,10867003,,20
chuq,neutron_elastic,neutron,98,42,98Mo,11.0,,10867004,,20
chuq,neutron_elastic,neutron,98,42,98Mo,11.01,,10633014,,20
chuq,neutron_elastic,neutron,98,42,98Mo,20.0,,10867004,,20
chuq,neutron_elastic,neutron,98,42,98Mo,26.0,,10867004,,20
chuq,neutron_elastic,neutron,100,42,100Mo,11.0,,10867005,,20
chuq,neutron_elastic,neutron,100,42,100Mo,11.01,,10633015,,20
chuq,neutron_elastic,neutron,100,42,100Mo,20.0,,10867005,,20
chuq,neutron_elastic,neutron,100,42,100Mo,26.0,,10867005,,20
chuq,neutron_elastic,neutron,116,50,116Sn,9.945,,13158005,,20
chuq,neutron_elastic,neutron,116,50,116Sn,11.0,,10817006,,20
chuq,neutron_elastic,neutron,116,50,116Sn,13.925,,13158005,,20
chuq,neutron_elastic,neutron,116,50,116Sn,24.0,,10817006,,20
chuq,neutron_elastic,neutron,118,50,118Sn,11.0,,10817007,,20
chuq,neutron_elastic,neutron,118,50,118Sn,24.0,,10817007,,20
chuq,neutron_elastic,neutron,120,50,120Sn,9.943,,13158007,,20
chuq,neutron_elastic,neutron,120,50,120Sn,11.0,,10817008,,20
chuq,neutron_elastic,neutron,120,50,120Sn,11.01,,10633017,,20
chuq,neutron_elastic,neutron,120,50,120Sn,13.923,,13158007,,20
chuq,neutron_elastic,neutron,120,50,120Sn,16.905,,13158007,,20
chuq,neutron_elastic,neutron,122,50,122Sn,11.0,,10817009,,20
chuq,neutron_elastic,neutron,124,50,124Sn,11.0,,10817010,,20
chuq,neutron_elastic,neutron,124,50,124Sn,24.0,,10817010,,20
chuq,neutron_elastic,neutron,165,80,165Hg,11.01,,10633018,,20
chuq,neutron_elastic,neutron,206,82,206Pb,11.01,,10633020,,20
chuq,neutron_elastic,neutron,208,82,208Pb,11.0,,10871002,,20
chuq,neutron_elastic,neutron,208,82,208Pb,13.9,,13685002,,20
chuq,neutron_elastic,neutron,208,82,208Pb,16.9,,13685002,,20
chuq,neutron_elastic,neutron,208,82,208Pb,20.0,,10871002,,20
chuq,neutron_elastic,neutron,208,82,208Pb,26.0,,10871002,,20
chuq,neutron_elastic,neutron,209,83,209Bi,11.01,,10633022,,20
