corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
chuq,proton_ay,proton,40,20,40Ca,65.0,,O0032002,A,24
chuq,proton_ay,proton,44,20,44Ca,65.0,,O0032056,A,24
chuq,proton_ay,proton,46,22,46Ti,65.0,,O0032058,A,24
chuq,proton_ay,proton,48,20,48Ca,65.0,,O0032057,A,24
chuq,proton_ay,proton,48,22,48Ti,16.0,,C0893005,,24
chuq,proton_ay,proton,48,22,48Ti,65.0,,O0032059,A,24
chuq,proton_ay,proton,50,22,50Ti,16.0,,C0893007,,24
chuq,proton_ay,proton,50,22,50Ti,65.0,,O0032060,A,24
chuq,proton_ay,proton,54,26,54Fe,16.0,,C0893009,,24
chuq,proton_ay,proton,54,26,54Fe,17.2,,O0091003,,24
chuq,proton_ay,proton,54,26,54Fe,20.4,,O0091005,,24
chuq,proton_ay,proton,54,26,54Fe,24.6,,O0091007,,24
chuq,proton_ay,proton,54,26,54Fe,40.0,,O0162024,,24
chuq,proton_ay,proton,54,26,54Fe,65.0,,O0032061,A,24
chuq,proton_ay,proton,56,26,56Fe,17.2,,O0091009,,24
chuq,proton_ay,proton,56,26,56Fe,20.4,,O0091011,,24
chuq,proton_ay,proton,56,26,56Fe,24.6,,O0091013,,24
chuq,proton_ay,proton,56,26,56Fe,65.0,,O0032062,A,24
chuq,proton_ay,proton,58,28,58Ni,16.0,,C0893013,,24
chuq,proton_ay,proton,58,28,58Ni,20.4,,O0091015,,24
chuq,proton_ay,proton,58,28,58Ni,24.6,,O0091017,,24
chuq,proton_ay,proton,58,28,58Ni,40.0,,O0162026,,24
chuq,proton_ay,proton,58,28,58Ni,65.0,,O0032008,A,24
chuq,proton_ay,proton,59,27,59Co,40.0,,O0328009,,24
chuq,proton_ay,proton,59,27,59Co,65.0,,O0032015,A,24
chuq,proton_ay,proton,60,28,60Ni,16.0,,C0893015,,24
chuq,proton_ay,proton,60,28,60Ni,20.4,,O0091019,,24
chuq,proton_ay,proton,60,28,60Ni,24.6,,O0091021,,24
chuq,proton_ay,proton,60,28,60Ni,40.0,,O0162028,,24
chuq,proton_ay,proton,60,28,60Ni,65.0,,O0032063,A,24
chuq,proton_ay,proton,62,28,62Ni,20.4,,O0091023,,24
chuq,proton_ay,proton,62,28,62Ni,24.6,,O0091025,,24
chuq,proton_ay,proton,62,28,62Ni,65.0,,O0032064,A,24
chuq,proton_ay,proton,63,29,63Cu,16.0,,C0893017,,24
chuq,proton_ay,proton,64,28,64Ni,20.4,,O0169005,,24
chuq,proton_ay,proton,64,28,64Ni,65.0,,O0032065,A,24
chuq,proton_ay,proton,64,30,64Zn,20.4,,O1109003,,24
chuq,proton_ay,proton,65,29,65Cu,16.0,,C0893019,,24
chuq,proton_ay,proton,66,30,66Zn,20.4,,O1109005,,24
chuq,proton_ay,proton,68,30,68Zn,20.4,,O1109007,,24
chuq,proton_ay,proton,68,30,68Zn,40.0,,O0328010,,24
chuq,proton_ay,proton,70,30,70Zn,20.4,,O1109009,,24
chuq,proton_ay,proton,72,32,72Ge,22.3,,O1103005,,24
chuq,proton_ay,proton,74,32,74Ge,22.3,,O1103007,,24
chuq,proton_ay,proton,76,34,76Se,16.0,,C0893021,,24
chuq,proton_ay,proton,78,34,78Se,16.0,,C0893023,,24
chuq,proton_ay,proton,78,34,78Se,22.3,,O1103013,,24
chuq,proton_ay,proton,80,34,80Se,16.0,,C0893025,,24
chuq,proton_ay,proton,80,34,80Se,22.3,,O1103015,,24
chuq,proton_ay,proton,82,34,82Se,16.0,,C0893027,,24
chuq,proton_ay,proton,86,38,86Sr,24.6,,O0169007,,24
chuq,proton_ay,proton,88,38,88Sr,24.6,,O0169009,,24
chuq,proton_ay,proton,89,39,89Y,65.0,,O0032066,A,24
chuq,proton_ay,proton,90,40,90Zr,16.0,,C0893029,,24
chuq,proton_ay,proton,90,40,90Zr,65.0,,O0032021,A,24
chuq,proton_ay,proton,98,42,98Mo,65.0,,O0032067,A,24
chuq,proton_ay,proton,100,42,100Mo,65.0,,O0032068,A,24
chuq,proton_ay,proton,106,48,106Cd,22.3,,O1104003,,24
chuq,proton_ay,proton,108,48,108Cd,22.3,,O1104005,,24
chuq,proton_ay,proton,110,48,110Cd,20.4,,O0169011,,24
chuq,proton_ay,proton,110,48,110Cd,22.3,,O1104007,,24
chuq,proton_ay,proton,112,48,112Cd,20.4,,O0169013,,24
chuq,proton_ay,proton,112,48,112Cd,22.3,,O1104009,,24
chuq,proton_ay,proton,114,48,114Cd,20.4,,O0169015,,24
chuq,proton_ay,proton,114,48,114Cd,22.3,,O1104011,,24
chuq,proton_ay,proton,116,48,116Cd,22.3,,O1104013,,24
chuq,proton_ay,proton,116,50,116Sn,16.0,,C0893031,,24
chuq,proton_ay,proton,116,50,116Sn,20.4,,O0169017,,24
chuq,proton_ay,proton,118,50,118Sn,20.4,,O0169019,,24
chuq,proton_ay,proton,120,50,120Sn,16.0,,C0893033,,24
chuq,proton_ay,proton,120,50,120Sn,20.4,,O0169021,,24
chuq,proton_ay,proton,120,50,120Sn,24.6,,O0169027,,24
chuq,proton_ay,proton,120,50,120Sn,40.0,,O0328011,,24
chuq,proton_ay,proton,122,50,122Sn,20.4,,O0169023,,24
chuq,proton_ay,proton,124,50,124Sn,16.0,,C0893035,,24
chuq,proton_ay,proton,124,50,124Sn,20.4,,O0169025,,24
chuq,proton_ay,proton,134,56,134Ba,16.0,,C0893037,,24
chuq,proton_ay,proton,136,56,136Ba,16.0,,C0893039,,24
chuq,proton_ay,proton,138,56,138Ba,16.0,,C0893041,,24
