corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
chuq,proton_elastic,proton,40,20,40Ca,40.0,,O0328003,,22
chuq,proton_elastic,proton,40,20,40Ca,65.0,,O0032002,S,22
chuq,proton_elastic,proton,44,20,44Ca,65.0,,O0032056,S,22
chuq,proton_elastic,proton,46,22,46Ti,65.0,,O0032058,S,22
chuq,proton_elastic,proton,48,20,48Ca,65.0,,O0032057,S,22
chuq,proton_elastic,proton,48,22,48Ti,16.0,,C0893004,,22
chuq,proton_elastic,proton,48,22,48Ti,65.0,,O0032059,S,22
chuq,proton_elastic,proton,50,22,50Ti,16.0,,C0893006,,22
chuq,proton_elastic,proton,50,22,50Ti,65.0,,O0032060,S,22
chuq,proton_elastic,proton,54,26,54Fe,16.0,,C0893008,,22
chuq,proton_elastic,proton,54,26,54Fe,17.2,,O0091002,,22
chuq,proton_elastic,proton,54,26,54Fe,20.4,,O0091004,,22
chuq,proton_elastic,proton,54,26,54Fe,24.6,,O0091006,,22
chuq,proton_elastic,proton,54,26,54Fe,40.0,,O0162023,,22
chuq,proton_elastic,proton,54,26,54Fe,65.0,,O0032061,S,22
chuq,proton_elastic,proton,56,26,56Fe,17.2,,O0091008,,22
chuq,proton_elastic,proton,56,26,56Fe,20.4,,O0091010,,22
chuq,proton_elastic,proton,56,26,56Fe,24.6,,O0091012,,22
chuq,proton_elastic,proton,56,26,56Fe,65.0,,O0032062,S,22
chuq,proton_elastic,proton,58,28,58Ni,16.0,,C0893012,,22
chuq,proton_elastic,proton,58,28,58Ni,20.4,,O0091014,,22
chuq,proton_elastic,proton,58,28,58Ni,24.6,,O0091016,,22
chuq,proton_elastic,proton,58,28,58Ni,40.0,,O0162025,,22
chuq,proton_elastic,proton,58,28,58Ni,65.0,,O0032008,S,22
chuq,proton_elastic,proton,59,27,59Co,40.0,,O0328004,,22
chuq,proton_elastic,proton,59,27,59Co,65.0,,O0032015,S,22
chuq,proton_elastic,proton,60,28,60Ni,16.0,,C0893014,,22
chuq,proton_elastic,proton,60,28,60Ni,20.4,,O0091018,,22
chuq,proton_elastic,proton,60,28,60Ni,24.6,,O0091020,,22
chuq,proton_elastic,proton,60,28,60Ni,40.0,,O0162027,,22
chuq,proton_elastic,proton,60,28,60Ni,65.0,,O0032063,S,22
chuq,proton_elastic,proton,62,28,62Ni,20.4,,O0091022,,22
chuq,proton_elastic,proton,62,28,62Ni,24.6,,O0091024,,22
chuq,proton_elastic,proton,62,28,62Ni,65.0,,O0032064,S,22
chuq,proton_elastic,proton,63,29,63Cu,16.0,,C0893016,,22
chuq,proton_elastic,proton,64,28,64Ni,20.4,,O0169004,,22
chuq,proton_elastic,proton,64,28,64Ni,65.0,,O0032065,S,22
chuq,proton_elastic,proton,64,30,64Zn,20.4,,O1109002,,22
chuq,proton_elastic,proton,65,29,65Cu,16.0,,C0893018,,22
chuq,proton_elastic,proton,66,30,66Zn,20.4,,O1109004,,22
chuq,proton_elastic,proton,68,30,68Zn,20.4,,O1109006,,22
chuq,proton_elastic,proton,68,30,68Zn,40.0,,O0328005,,22
chuq,proton_elastic,proton,70,30,70Zn,20.4,,O1109008,,22
chuq,proton_elastic,proton,72,32,72Ge,22.3,,O1103004,,22
chuq,proton_elastic,proton,74,32,74Ge,22.3,,O1103006,,22
chuq,proton_elastic,proton,76,34,76Se,16.0,,C0893020,,22
chuq,proton_elastic,proton,78,34,78Se,16.0,,C0893022,,22
chuq,proton_elastic,proton,78,34,78Se,22.3,,O1103012,,22
chuq,proton_elastic,proton,80,34,80Se,16.0,,C0893024,,22
chuq,proton_elastic,proton,80,34,80Se,22.3,,O1103014,,22
chuq,proton_elastic,proton,82,34,82Se,16.0,,C0893026,,22
chuq,proton_elastic,proton,86,38,86Sr,24.6,,O0169006,,22
chuq,proton_elastic,proton,88,38,88Sr,24.6,,O0169008,,22
chuq,proton_elastic,proton,89,39,89Y,65.0,,O0032066,S,22
chuq,proton_elastic,proton,90,40,90Zr,16.0,,C0893028,,22
chuq,proton_elastic,proton,90,40,90Zr,40.0,,O0328006,,22
chuq,proton_elastic,proton,90,40,90Zr,65.0,,O0032021,S,22
chuq,proton_elastic,proton,98,42,98Mo,65.0,,O0032067,S,22
chuq,proton_elastic,proton,100,42,100Mo,65.0,,O0032068,S,22
chuq,proton_elastic,proton,106,48,106Cd,22.3,,O1104002,,22
chuq,proton_elastic,proton,108,48,108Cd,22.3,,O1104004,,22
chuq,proton_elastic,proton,110,48,110Cd,20.4,,O0169010,,22
chuq,proton_elastic,proton,110,48,110Cd,22.3,,O1104006,,22
chuq,proton_elastic,proton,112,48,112Cd,20.4,,O0169012,,22
chuq,proton_elastic,proton,112,48,112Cd,22.3,,O1104008,,22
chuq,proton_elastic,proton,114,48,114Cd,20.4,,O0169014,,22
chuq,proton_elastic,proton,114,48,114Cd,22.3,,O1104010,,22
chuq,proton_elastic,proton,116,48,116Cd,22.3,,O1104012,,22
chuq,proton_elastic,proton,116,50,116Sn,16.0,,C0893030,,22
chuq,proton_elastic,proton,116,50,116Sn,20.4,,O0169016,,22
chuq,proton_elastic,proton,118,50,118Sn,20.4,,O0169018,,22
chuq,proton_elastic,proton,120,50,120Sn,16.0,,C0893032,,22
chuq,proton_elastic,proton,120,50,120Sn,20.4,,O0169020,,22
chuq,proton_elastic,proton,120,50,120Sn,24.6,,O0169026,,22
chuq,proton_elastic,proton,120,50,120Sn,40.0,,O0328007,,22
chuq,proton_elastic,proton,122,50,122Sn,20.4,,O0169022,,22
chuq,proton_elastic,proton,124,50,124Sn,16.0,,C0893034,,22
chuq,proton_elastic,proton,124,50,124Sn,20.4,,O0169024,,22
chuq,proton_elastic,proton,134,56,134Ba,16.0,,C0893036,,22
chuq,proton_elastic,proton,136,56,136Ba,16.0,,C0893038,,22
chuq,proton_elastic,proton,138,56,138Ba,16.0,,C0893040,,22
chuq,proton_elastic,proton,144,62,144Sm,65.0,,O0032069,S,22
chuq,proton_elastic,proton,208,82,208Pb,40.0,,O0328008,,22
chuq,proton_elastic,proton,208,82,208Pb,65.0,,O0032025,S,22
chuq,proton_elastic,proton,209,83,209Bi,65.0,,O0032070,S,22
