corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
kduq,neutron_ay,neutron,27,13,27Al,7.62,,22532004,,11
kduq,neutron_ay,neutron,27,13,27Al,14.0,,13684002,,11
kduq,neutron_ay,neutron,27,13,27Al,17.0,,13684002,,11
kduq,neutron_ay,neutron,40,20,40Ca,9.91,,12785003,,11
kduq,neutron_ay,neutron,40,20,40Ca,11.91,,12785003,,11
kduq,neutron_ay,neutron,40,20,40Ca,13.9,,12785003,,11
kduq,neutron_ay,neutron,40,20,40Ca,16.923,,12996004,,11
kduq,neutron_ay,neutron,54,26,54Fe,9.941,,12997004,,11
kduq,neutron_ay,neutron,54,26,54Fe,13.937,,12997004,,11
kduq,neutron_ay,neutron,54,26,54Fe,16.93,,12997004,,11
kduq,neutron_ay,neutron,58,28,58Ni,9.906,,12997008,,11
kduq,neutron_ay,neutron,58,28,58Ni,13.94,,12997008,,11
kduq,neutron_ay,neutron,58,28,58Ni,16.934,,12997008,,11
kduq,neutron_ay,neutron,65,29,65Cu,9.96,,12844003,,11
kduq,neutron_ay,neutron,65,29,65Cu,13.9,,12844003,,11
kduq,neutron_ay,neutron,89,39,89Y,9.954,,12994003,,11
kduq,neutron_ay,neutron,89,39,89Y,13.934,,12994003,,11
kduq,neutron_ay,neutron,89,39,89Y,16.93,,12994003,,11
kduq,neutron_ay,neutron,93,41,93Nb,9.941,,12995003,,11
kduq,neutron_ay,neutron,93,41,93Nb,13.915,,12995003,,11
kduq,neutron_ay,neutron,120,50,120Sn,9.907,,13158002,,11
kduq,neutron_ay,neutron,120,50,120Sn,13.894,,13158002,,11
kduq,neutron_ay,neutron,208,82,208Pb,1.8,,40075005,1,11
kduq,neutron_ay,neutron,208,82,208Pb,5.969,,13531003,,11
kduq,neutron_ay,neutron,208,82,208Pb,6.967,,13531003,,11
kduq,neutron_ay,neutron,208,82,208Pb,7.962,,13531003,,11
kduq,neutron_ay,neutron,208,82,208Pb,8.958,,13531003,,11
kduq,neutron_ay,neutron,208,82,208Pb,9.95,,13531003,,11
kduq,neutron_ay,neutron,209,83,209Bi,4.5,,10855002,,11
kduq,neutron_ay,neutron,209,83,209Bi,6.0,,13680002,,11
kduq,neutron_ay,neutron,209,83,209Bi,9.0,,13680002,,11
