corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
kduq,neutron_elastic,neutron,24,12,24Mg,3.4,,30463008,,4
kduq,neutron_elastic,neutron,24,12,24Mg,6.1,,21490002,,4
kduq,neutron_elastic,neutron,24,12,24Mg,9.76,,21773002,,4
kduq,neutron_elastic,neutron,24,12,24Mg,14.83,,21773010,,4
kduq,neutron_elastic,neutron,0,12,natMg,1.969,,11493004,,4
kduq,neutron_elastic,neutron,0,12,natMg,2.958,,11493004,,4
kduq,neutron_elastic,neutron,0,12,natMg,3.948,,11493004,,4
kduq,neutron_elastic,neutron,0,12,natMg,4.958,,11493004,,4
kduq,neutron_elastic,neutron,0,12,natMg,5.44,,10105006,,4
kduq,neutron_elastic,neutron,0,12,natMg,6.44,,10105006,,4
kduq,neutron_elastic,neutron,0,12,natMg,7.55,,10105006,,4
kduq,neutron_elastic,neutron,0,12,natMg,7.97,,11455002,,4
kduq,neutron_elastic,neutron,0,12,natMg,8.56,,10105006,,4
kduq,neutron_elastic,neutron,0,12,natMg,11.01,,10633002,,4
kduq,neutron_elastic,neutron,0,12,natMg,14.1,,11286009,,4
kduq,neutron_elastic,neutron,0,12,natMg,21.6,,22048002,,4
kduq,neutron_elastic,neutron,27,13,27Al,3.2,,11511002,,4
kduq,neutron_elastic,neutron,27,13,27Al,5.44,,10106025,,4
kduq,neutron_elastic,neutron,27,13,27Al,6.44,,10106025,,4
kduq,neutron_elastic,neutron,27,13,27Al,7.54,,10106025,,4
kduq,neutron_elastic,neutron,27,13,27Al,7.62,,22532002,,4
kduq,neutron_elastic,neutron,27,13,27Al,8.56,,10106025,,4
kduq,neutron_elastic,neutron,27,13,27Al,10.873,,12875002,,4
kduq,neutron_elastic,neutron,27,13,27Al,13.883,,12875002,,4
kduq,neutron_elastic,neutron,27,13,27Al,16.883,,12875002,,4
kduq,neutron_elastic,neutron,27,13,27Al,18.0,,12973005,,4
kduq,neutron_elastic,neutron,27,13,27Al,20.0,,12973005,,4
