corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
kduq,neutron_total,neutron,0,12,natMg,5.293,297.8,13753010,,12
kduq,neutron_total,neutron,0,12,natMg,0.008,39.807,10791002,,12
kduq,neutron_total,neutron,27,13,27Al,1.999,80.62,12882005,,12
kduq,neutron_total,neutron,27,13,27Al,5.293,297.772,13569008,,12
kduq,neutron_total,neutron,27,13,27Al,0.935,,21926003,,12
kduq,neutron_total,neutron,27,13,27Al,0.25,19.286,22331004,,12
kduq,neutron_total,neutron,0,14,natSi,0.187,47.68,10377005,,12
kduq,neutron_total,neutron,0,14,natSi,1.996,79.828,12882006,,12
kduq,neutron_total,neutron,0,14,natSi,5.293,297.772,13569009,,12
kduq,neutron_total,neutron,0,16,natS,2.259,14.888,10047018,,12
kduq,neutron_total,neutron,0,16,natS,0.102,,11540002,,12
kduq,neutron_total,neutron,0,16,natS,5.293,297.8,13753012,,12
kduq,neutron_total,neutron,40,20,40Ca,0.04,6.058,10721002,,12
kduq,neutron_total,neutron,40,20,40Ca,5.293,297.772,13569010,,12
kduq,neutron_total,neutron,48,22,48Ti,0.974,4.025,10669002,,12
kduq,neutron_total,neutron,48,22,48Ti,5.293,297.8,13753015,,12
kduq,neutron_total,neutron,0,24,natCr,0.185,29.306,10342004,,12
kduq,neutron_total,neutron,52,24,52Cr,1.0,4.15,12750002,,12
kduq,neutron_total,neutron,52,24,52Cr,5.293,297.8,13753017,,12
kduq,neutron_total,neutron,52,24,52Cr,0.021,,20435003,,12
kduq,neutron_total,neutron,0,26,natFe,2.268,,13727002,,12
kduq,neutron_total,neutron,56,26,56Fe,0.187,48.608,10377007,,12
kduq,neutron_total,neutron,56,26,56Fe,5.293,297.8,13753019,,12
kduq,neutron_total,neutron,56,26,56Fe,1.0,18.026,22258002,,12
kduq,neutron_total,neutron,58,28,58Ni,0.003,67.481,12972008,,12
kduq,neutron_total,neutron,58,28,58Ni,5.293,297.8,13753021,,12
kduq,neutron_total,neutron,58,28,58Ni,0.5,19.54,22314006,,12
kduq,neutron_total,neutron,0,29,natCu,1.2,4.5,12869002,,12
kduq,neutron_total,neutron,0,29,natCu,5.293,297.772,13569011,,12
kduq,neutron_total,neutron,89,39,89Y,1.822,19.52,12853010,,12
kduq,neutron_total,neutron,89,39,89Y,5.293,297.8,13753022,,12
kduq,neutron_total,neutron,90,40,90Zr,0.433,1.54,10338004,,12
kduq,neutron_total,neutron,90,40,90Zr,0.933,5.054,10468002,,12
kduq,neutron_total,neutron,90,40,90Zr,5.293,297.772,13569012,,12
kduq,neutron_total,neutron,90,40,90Zr,2.349,,13736003,,12
kduq,neutron_total,neutron,93,41,93Nb,0.75,3.963,12797002,,12
kduq,neutron_total,neutron,93,41,93Nb,0.215,1.32,12853018,,12
kduq,neutron_total,neutron,93,41,93Nb,5.293,297.772,13569013,,12
kduq,neutron_total,neutron,0,42,natMo,2.253,14.713,10047047,,12
kduq,neutron_total,neutron,0,42,natMo,0.103,1.105,10277034,,12
kduq,neutron_total,neutron,0,42,natMo,0.215,1.32,12853021,,12
kduq,neutron_total,neutron,0,42,natMo,1.822,19.28,12853022,,12
kduq,neutron_total,neutron,0,42,natMo,0.985,4.195,12853023,,12
kduq,neutron_total,neutron,0,42,natMo,5.293,297.8,13753023,,12
kduq,neutron_total,neutron,0,50,natSn,0.002,,10639005,,12
kduq,neutron_total,neutron,0,50,natSn,0.215,1.32,12853042,,12
kduq,neutron_total,neutron,0,50,natSn,5.293,297.772,13569014,,12
kduq,neutron_total,neutron,0,58,natCe,2.26,14.866,10047062,,12
kduq,neutron_total,neutron,0,58,natCe,17.5,27.8,11108033,,12
kduq,neutron_total,neutron,0,58,natCe,2.253,56.92,12891002,,12
kduq,neutron_total,neutron,0,58,natCe,0.182,,20819002,,12
kduq,neutron_total,neutron,0,58,natCe,160.0,280.0,22117011,,12
kduq,neutron_total,neutron,0,58,natCe,1.013,,30134005,,12
kduq,neutron_total,neutron,197,79,197Au,0.048,4.389,10935003,,12
kduq,neutron_total,neutron,197,79,197Au,5.293,297.8,13753026,,12
kduq,neutron_total,neutron,0,80,natHg,2.255,14.873,10047087,,12
kduq,neutron_total,neutron,0,80,natHg,0.04,,11953009,,12
kduq,neutron_total,neutron,0,80,natHg,5.293,297.8,13753027,,12
kduq,neutron_total,neutron,0,80,natHg,1.007,2.007,30134010,,12
kduq,neutron_total,neutron,208,82,208Pb,2.491,14.137,10047089,,12
kduq,neutron_total,neutron,208,82,208Pb,0.717,1.719,12215003,,12
kduq,neutron_total,neutron,208,82,208Pb,17.665,,13735002,,12
kduq,neutron_total,neutron,208,82,208Pb,5.293,297.772,13569018,,12
kduq,neutron_total,neutron,209,83,209Bi,2.376,13.977,10047093,,12
kduq,neutron_total,neutron,209,83,209Bi,0.011,1.013,10449003,,12
kduq,neutron_total,neutron,209,83,209Bi,1.237,3.353,10846002,1,12
kduq,neutron_total,neutron,209,83,209Bi,69.547,,13199004,,12
kduq,neutron_total,neutron,209,83,209Bi,5.293,297.772,13569019,,12
