corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
kduq,proton_ay,proton,28,14,28Si,17.8,,O0254003,,17
kduq,proton_ay,proton,28,14,28Si,65.0,,E0166009,,17
kduq,proton_ay,proton,28,14,28Si,80.0,,C0084003,,17
kduq,proton_ay,proton,28,14,28Si,100.0,,C0084003,,17
kduq,proton_ay,proton,28,14,28Si,135.0,,C0084003,,17
kduq,proton_ay,proton,28,14,28Si,175.0,,C0084003,,17
kduq,proton_ay,proton,28,14,28Si,180.0,,C0152004,,17
kduq,proton_ay,proton,40,20,40Ca,16.0,,C0893003,,17
kduq,proton_ay,proton,40,20,40Ca,26.3,,O0490006,,17
kduq,proton_ay,proton,40,20,40Ca,30.05,,O0490003,,17
kduq,proton_ay,proton,40,20,40Ca,40.0,,O0208006,2,17
kduq,proton_ay,proton,40,20,40Ca,45.5,,C0076003,,17
kduq,proton_ay,proton,40,20,40Ca,65.0,,E0166013,,17
kduq,proton_ay,proton,40,20,40Ca,75.0,,O0553011,,17
kduq,proton_ay,proton,40,20,40Ca,80.2,,T0108004,,17
kduq,proton_ay,proton,40,20,40Ca,152.0,,O0553005,,17
kduq,proton_ay,proton,40,20,40Ca,181.5,,T0108004,,17
kduq,proton_ay,proton,40,20,40Ca,201.4,,C0148008,,17
kduq,proton_ay,proton,54,26,54Fe,9.69,,O0393002,2,17
kduq,proton_ay,proton,54,26,54Fe,16.0,,C0893009,,17
kduq,proton_ay,proton,54,26,54Fe,17.2,,O0091003,,17
kduq,proton_ay,proton,54,26,54Fe,18.6,,D0286005,,17
kduq,proton_ay,proton,54,26,54Fe,20.4,,O0091005,,17
kduq,proton_ay,proton,54,26,54Fe,24.6,,O0091007,,17
kduq,proton_ay,proton,0,26,natFe,155.0,,O0218002,,17
kduq,proton_ay,proton,0,26,natFe,179.0,,D0285008,,17
kduq,proton_ay,proton,56,26,56Fe,14.0,,C1100005,,17
kduq,proton_ay,proton,56,26,56Fe,17.2,,O0091009,,17
kduq,proton_ay,proton,56,26,56Fe,18.6,,D0286006,,17
kduq,proton_ay,proton,56,26,56Fe,20.4,,O0091011,,17
kduq,proton_ay,proton,56,26,56Fe,24.6,,O0091013,,17
kduq,proton_ay,proton,56,26,56Fe,65.0,,E1201003,,17
kduq,proton_ay,proton,58,28,58Ni,18.6,,D0286007,,17
kduq,proton_ay,proton,58,28,58Ni,20.4,,O0091015,,17
kduq,proton_ay,proton,58,28,58Ni,20.9,,O0434009,,17
kduq,proton_ay,proton,58,28,58Ni,24.6,,O0091017,,17
kduq,proton_ay,proton,58,28,58Ni,30.04,,O0490004,,17
kduq,proton_ay,proton,58,28,58Ni,40.0,,O0208007,2,17
kduq,proton_ay,proton,58,28,58Ni,65.0,,E1201007,,17
kduq,proton_ay,proton,58,28,58Ni,178.0,,D0189003,,17
kduq,proton_ay,proton,58,28,58Ni,192.0,,E1704005,,17
kduq,proton_ay,proton,0,28,natNi,155.0,,O0218003,,17
kduq,proton_ay,proton,60,28,60Ni,20.4,,O0091019,,17
kduq,proton_ay,proton,60,28,60Ni,24.6,,O0091021,,17
kduq,proton_ay,proton,60,28,60Ni,65.0,,E1201009,,17
kduq,proton_ay,proton,90,40,90Zr,9.7,,O0393007,2,17
kduq,proton_ay,proton,90,40,90Zr,20.25,,O0392007,,17
kduq,proton_ay,proton,90,40,90Zr,30.0,,D0295003,,17
kduq,proton_ay,proton,90,40,90Zr,40.0,,O0208008,2,17
kduq,proton_ay,proton,120,50,120Sn,9.7,,O0393008,2,17
kduq,proton_ay,proton,120,50,120Sn,20.4,,O0169021,,17
kduq,proton_ay,proton,120,50,120Sn,24.6,,O0169027,,17
kduq,proton_ay,proton,120,50,120Sn,40.0,,O0328011,,17
kduq,proton_ay,proton,208,82,208Pb,26.3,,O0490008,,17
kduq,proton_ay,proton,208,82,208Pb,40.0,,O0208009,2,17
kduq,proton_ay,proton,208,82,208Pb,49.35,,O0788025,,17
kduq,proton_ay,proton,208,82,208Pb,65.0,,E1201015,,17
kduq,proton_ay,proton,208,82,208Pb,79.8,,T0108010,,17
kduq,proton_ay,proton,208,82,208Pb,98.0,,T0108010,,17
kduq,proton_ay,proton,208,82,208Pb,182.0,,T0108010,,17
kduq,proton_ay,proton,208,82,208Pb,200.0,,C0081006,,17
