corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
kduq,proton_elastic,proton,27,13,27Al,17.0,,O0262004,,14
kduq,proton_elastic,proton,27,13,27Al,28.0,,C1208002,,14
kduq,proton_elastic,proton,27,13,27Al,35.2,,O0083019,,14
kduq,proton_elastic,proton,27,13,27Al,61.4,,O0211003,,14
kduq,proton_elastic,proton,27,13,27Al,142.0,,O0247006,,14
kduq,proton_elastic,proton,27,13,27Al,156.0,,O0049003,,14
kduq,proton_elastic,proton,27,13,27Al,160.0,,D0283004,,14
kduq,proton_elastic,proton,27,13,27Al,183.0,,O0365008,,14
kduq,proton_elastic,proton,28,14,28Si,17.8,,O0254009,,14
kduq,proton_elastic,proton,28,14,28Si,28.0,,C1208003,,14
kduq,proton_elastic,proton,28,14,28Si,30.4,,O0124002,,14
kduq,proton_elastic,proton,28,14,28Si,40.0,,O0162021,,14
kduq,proton_elastic,proton,28,14,28Si,65.0,,E0166008,,14
kduq,proton_elastic,proton,28,14,28Si,80.0,,C0084002,,14
kduq,proton_elastic,proton,28,14,28Si,100.0,,C0084002,,14
kduq,proton_elastic,proton,28,14,28Si,135.0,,C0084002,,14
kduq,proton_elastic,proton,28,14,28Si,179.0,,C0084002,,14
kduq,proton_elastic,proton,28,14,28Si,180.0,,C0152002,,14
kduq,proton_elastic,proton,40,20,40Ca,16.0,,C0893002,,14
kduq,proton_elastic,proton,40,20,40Ca,40.0,,O0208006,1,14
kduq,proton_elastic,proton,40,20,40Ca,45.5,,C0076002,,14
kduq,proton_elastic,proton,40,20,40Ca,61.4,,O0211012,,14
kduq,proton_elastic,proton,40,20,40Ca,65.0,,O0032002,S,14
kduq,proton_elastic,proton,40,20,40Ca,75.0,,O0553010,,14
kduq,proton_elastic,proton,40,20,40Ca,80.0,,T0101002,,14
kduq,proton_elastic,proton,40,20,40Ca,135.0,,T0101002,,14
kduq,proton_elastic,proton,40,20,40Ca,152.0,,O0553004,,14
kduq,proton_elastic,proton,40,20,40Ca,156.0,,O0049004,,14
kduq,proton_elastic,proton,40,20,40Ca,160.0,,T0101002,,14
kduq,proton_elastic,proton,40,20,40Ca,181.5,,T0108005,,14
kduq,proton_elastic,proton,40,20,40Ca,201.4,,C0148006,,14
kduq,proton_elastic,proton,54,26,54Fe,9.69,,O0393002,1,14
kduq,proton_elastic,proton,54,26,54Fe,12.0,,C1024002,,14
kduq,proton_elastic,proton,54,26,54Fe,16.0,,C0893008,,14
kduq,proton_elastic,proton,54,26,54Fe,17.2,,O0091002,,14
kduq,proton_elastic,proton,54,26,54Fe,18.6,,D0286015,,14
kduq,proton_elastic,proton,54,26,54Fe,19.6,,O0079006,,14
kduq,proton_elastic,proton,54,26,54Fe,20.4,,O0091004,,14
kduq,proton_elastic,proton,54,26,54Fe,24.6,,O0091006,,14
kduq,proton_elastic,proton,54,26,54Fe,30.4,,O1243003,1,14
kduq,proton_elastic,proton,54,26,54Fe,35.2,,O1198020,,14
kduq,proton_elastic,proton,54,26,54Fe,39.8,,O0456002,,14
kduq,proton_elastic,proton,54,26,54Fe,49.35,,O0788007,,14
kduq,proton_elastic,proton,54,26,54Fe,65.0,,O0032061,S,14
kduq,proton_elastic,proton,0,26,natFe,182.4,,O0365012,,14
kduq,proton_elastic,proton,56,26,56Fe,10.93,,,,14
kduq,proton_elastic,proton,56,26,56Fe,11.7,,,,14
kduq,proton_elastic,proton,56,26,56Fe,16.0,,C0893010,,14
kduq,proton_elastic,proton,56,26,56Fe,18.6,,D0286016,,14
kduq,proton_elastic,proton,56,26,56Fe,19.1,,O0167006,,14
kduq,proton_elastic,proton,56,26,56Fe,30.3,,O0142005,,14
kduq,proton_elastic,proton,56,26,56Fe,35.2,,O0083016,,14
kduq,proton_elastic,proton,56,26,56Fe,39.8,,O0456003,,14
kduq,proton_elastic,proton,56,26,56Fe,49.35,,O0788006,,14
kduq,proton_elastic,proton,56,26,56Fe,65.0,,E1201002,,14
kduq,proton_elastic,proton,56,26,56Fe,156.0,,O0049006,,14
kduq,proton_elastic,proton,58,28,58Ni,10.7,,O0446002,,14
kduq,proton_elastic,proton,58,28,58Ni,11.7,,,,14
kduq,proton_elastic,proton,58,28,58Ni,14.4,,O0446002,,14
kduq,proton_elastic,proton,58,28,58Ni,15.4,,O0446002,,14
kduq,proton_elastic,proton,58,28,58Ni,16.0,,C0893012,,14
kduq,proton_elastic,proton,58,28,58Ni,17.0,,O0262007,,14
kduq,proton_elastic,proton,58,28,58Ni,18.6,,D0286017,,14
kduq,proton_elastic,proton,58,28,58Ni,21.3,,O0434008,,14
kduq,proton_elastic,proton,58,28,58Ni,22.2,,C1019017,,14
kduq,proton_elastic,proton,58,28,58Ni,30.3,,O0142007,,14
kduq,proton_elastic,proton,58,28,58Ni,35.2,,O1198021,,14
kduq,proton_elastic,proton,58,28,58Ni,39.6,,O0436003,1,14
kduq,proton_elastic,proton,58,28,58Ni,40.0,,O0208007,1,14
kduq,proton_elastic,proton,58,28,58Ni,61.4,,O0211013,,14
kduq,proton_elastic,proton,58,28,58Ni,65.0,,O0032008,S,14
kduq,proton_elastic,proton,58,28,58Ni,100.4,,O0300003,,14
kduq,proton_elastic,proton,58,28,58Ni,160.0,,O0302005,,14
kduq,proton_elastic,proton,58,28,58Ni,178.0,,D0189002,,14
kduq,proton_elastic,proton,58,28,58Ni,192.0,,E1704002,,14
kduq,proton_elastic,proton,60,28,60Ni,14.4,,O0446003,,14
kduq,proton_elastic,proton,60,28,60Ni,15.4,,O0446003,,14
kduq,proton_elastic,proton,60,28,60Ni,16.0,,C0893014,,14
kduq,proton_elastic,proton,60,28,60Ni,18.6,,D0286018,,14
kduq,proton_elastic,proton,60,28,60Ni,30.3,,O0142008,,14
kduq,proton_elastic,proton,60,28,60Ni,30.8,,O0157002,,14
kduq,proton_elastic,proton,60,28,60Ni,39.6,,O0436002,1,14
kduq,proton_elastic,proton,60,28,60Ni,65.0,,O0032063,S,14
kduq,proton_elastic,proton,90,40,90Zr,9.7,,O0393007,1,14
kduq,proton_elastic,proton,90,40,90Zr,12.7,,O0389002,1,14
kduq,proton_elastic,proton,90,40,90Zr,14.71,,O0372013,,14
kduq,proton_elastic,proton,90,40,90Zr,16.0,,C0893028,,14
kduq,proton_elastic,proton,90,40,90Zr,18.8,,O0370002,,14
kduq,proton_elastic,proton,90,40,90Zr,22.5,,C0085002,,14
