corpus,sector,projectile,target_A,target_Z,target_label,energy_mev,energy_hi_mev,subentry,pointer,pdf_page
kduq,proton_reaction,proton,27,13,27Al,8.87,10.39,D0314002,,18
kduq,proton_reaction,proton,27,13,27Al,8.8,,D0535002,,18
kduq,proton_reaction,proton,27,13,27Al,9.89,,C1042003,,18
kduq,proton_reaction,proton,27,13,27Al,9.9,10.12,O0741004,,18
kduq,proton_reaction,proton,27,13,27Al,16.29,,O0368004,,18
kduq,proton_reaction,proton,27,13,27Al,24.8,46.3,O0325003,,18
kduq,proton_reaction,proton,27,13,27Al,29.0,,O0369003,,18
kduq,proton_reaction,proton,27,13,27Al,34.0,,O0732003,,18
kduq,proton_reaction,proton,27,13,27Al,40.0,60.8,O0081008,,18
kduq,proton_reaction,proton,27,13,27Al,61.0,,O0475003,,18
kduq,proton_reaction,proton,27,13,27Al,77.0,133,C1211003,,18
kduq,proton_reaction,proton,27,13,27Al,99.7,,O0340006,,18
kduq,proton_reaction,proton,27,13,27Al,134.0,,O1947003,,18
kduq,proton_reaction,proton,27,13,27Al,179.6,,D0533005,,18
kduq,proton_reaction,proton,27,13,27Al,185.0,,,,18
kduq,proton_reaction,proton,27,13,27Al,234.0,,O0213004,,18
kduq,proton_reaction,proton,0,14,natSi,20.7,38.1,C1862005,,18
kduq,proton_reaction,proton,0,14,natSi,24.7,47.8,O0325006,,18
kduq,proton_reaction,proton,0,14,natSi,65.5,,O0579005,,18
kduq,proton_reaction,proton,40,20,40Ca,10.34,21.59,O0341003,,18
kduq,proton_reaction,proton,40,20,40Ca,24.9,48,O0330003,,18
kduq,proton_reaction,proton,40,20,40Ca,28.5,,O0150002,,18
kduq,proton_reaction,proton,40,20,40Ca,65.5,,O0579006,,18
kduq,proton_reaction,proton,0,20,natCa,99.3,,O0340007,,18
kduq,proton_reaction,proton,0,20,natCa,179.6,,D0533006,,18
kduq,proton_reaction,proton,0,26,natFe,8.8,,D0535004,,18
kduq,proton_reaction,proton,0,26,natFe,9.21,11.25,D0314003,,18
kduq,proton_reaction,proton,0,26,natFe,9.89,,C1042006,,18
kduq,proton_reaction,proton,0,26,natFe,9.97,10.2,O0741013,,18
kduq,proton_reaction,proton,0,26,natFe,15.8,,C1864004,,18
kduq,proton_reaction,proton,0,26,natFe,28.0,,C1212007,,18
kduq,proton_reaction,proton,0,26,natFe,34.0,,O0732004,,18
kduq,proton_reaction,proton,0,26,natFe,61.0,,O0475004,,18
kduq,proton_reaction,proton,0,26,natFe,98.7,,O0340011,,18
kduq,proton_reaction,proton,0,26,natFe,179.6,,D0533007,,18
