corpus,sector,target_label,energy_mev,subentry,category,reason
chuq,neutron_elastic,165Hg,11.01,10633018,subentry-withdrawn,subentry not present in entry 10633 for this quantity
chuq,neutron_elastic,51V,11.01,10633006,subentry-withdrawn,subentry not present in entry 10633 for this quantity
chuq,neutron_elastic,55Mn,11.01,10633007,subentry-withdrawn,subentry not present in entry 10633 for this quantity
chuq,neutron_elastic,59Co,11.01,10633009,subentry-withdrawn,subentry not present in entry 10633 for this quantity
chuq,neutron_elastic,93Nb,11.01,10633011,subentry-withdrawn,subentry not present in entry 10633 for this quantity
chuq,neutron_elastic,natCa,11.01,10633005,subentry-withdrawn,subentry not present in entry 10633 for this quantity
chuq,proton_ay,54Fe,40.0,O0162024,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0162 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
chuq,proton_ay,58Ni,40.0,O0162026,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0162 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
chuq,proton_ay,60Ni,40.0,O0162028,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0162 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
chuq,proton_elastic,208Pb,40.0,O0328008,subentry-withdrawn,subentry not present in entry O0328 for this quantity
chuq,proton_elastic,40Ca,40.0,O0328003,subentry-withdrawn,subentry not present in entry O0328 for this quantity
chuq,proton_elastic,54Fe,40.0,O0162023,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0162 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
chuq,proton_elastic,58Ni,40.0,O0162025,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0162 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
chuq,proton_elastic,60Ni,40.0,O0162027,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0162 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
chuq,proton_elastic,90Zr,40.0,O0328006,subentry-withdrawn,subentry not present in entry O0328 for this quantity
kduq,neutron_ay,27Al,7.62,22532004,uncertainty-unresolved,uncertainty unresolved (no-uncertainty): subentry reports no uncertainty on the observable
kduq,neutron_elastic,103Rh,1.5,12796003,subentry-withdrawn,subentry not present in entry 12796 for this quantity
kduq,neutron_elastic,103Rh,1.8,12796003,subentry-withdrawn,subentry not present in entry 12796 for this quantity
kduq,neutron_elastic,103Rh,2.3,12796003,subentry-withdrawn,subentry not present in entry 12796 for this quantity
kduq,neutron_elastic,103Rh,2.8,12796003,subentry-withdrawn,subentry not present in entry 12796 for this quantity
kduq,neutron_elastic,103Rh,3.25,12796004,subentry-withdrawn,subentry not present in entry 12796 for this quantity
kduq,neutron_elastic,103Rh,3.75,12796004,subentry-withdrawn,subentry not present in entry 12796 for this quantity
kduq,neutron_elastic,103Rh,4.505,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,5.005,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,5.505,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,5.905,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,6.505,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,7.14,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,7.505,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,8.03,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,8.405,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,9.06,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,9.505,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,103Rh,9.995,13589002,subentry-withdrawn,subentry not present in entry 13589 for this quantity
kduq,neutron_elastic,120Sn,1.55,12795002,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,2.03,12795002,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,2.15,12795002,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,2.25,12795002,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,2.45,12795002,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,2.65,12795002,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,2.75,12795002,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,3.0,12795003,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,3.4,12795003,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,3.8,12795003,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,120Sn,4.0,12795003,subentry-withdrawn,subentry not present in entry 12795 for this quantity
kduq,neutron_elastic,123Sb,1.55,12805003,subentry-withdrawn,subentry not present in entry 12805 for this quantity
kduq,neutron_elastic,123Sb,2.05,12805003,subentry-withdrawn,subentry not present in entry 12805 for this quantity
kduq,neutron_elastic,123Sb,2.55,12805003,subentry-withdrawn,subentry not present in entry 12805 for this quantity
kduq,neutron_elastic,123Sb,3.0,12805004,subentry-withdrawn,subentry not present in entry 12805 for this quantity
kduq,neutron_elastic,123Sb,3.4,12805004,subentry-withdrawn,subentry not present in entry 12805 for this quantity
kduq,neutron_elastic,123Sb,4.0,12805004,subentry-withdrawn,subentry not present in entry 12805 for this quantity
kduq,neutron_elastic,123Sb,4.5,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,5.5,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,5.9,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,6.5,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,7.14,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,7.55,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,8.08,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,8.41,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,9.06,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,9.5,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,9.99,13802002,subentry-withdrawn,subentry not present in entry 13802 for this quantity
kduq,neutron_elastic,123Sb,14.0,11806004,subentry-withdrawn,subentry not present in entry 11806 for this quantity
kduq,neutron_elastic,127I,4.0,40221029,subentry-withdrawn,subentry not present in entry 40221 for this quantity
kduq,neutron_elastic,127I,16.1,21664012,x4i3-parse-failure,parse failed: Error while parsing 21664012: Attempted to extract error column POL-BM-ERR with incompatible unitsno-dim for data column DATA with units barns/ster
kduq,neutron_elastic,141Pr,5.0,11877007,subentry-withdrawn,subentry not present in entry 11877 for this quantity
kduq,neutron_elastic,141Pr,8.0,12054005,subentry-withdrawn,subentry not present in entry 12054 for this quantity
kduq,neutron_elastic,197Au,4.1,11215049,subentry-withdrawn,subentry not present in entry 11215 for this quantity
kduq,neutron_elastic,197Au,5.0,11877009,subentry-withdrawn,subentry not present in entry 11877 for this quantity
kduq,neutron_elastic,197Au,7.0,20346018,uncertainty-unresolved,uncertainty unresolved (no-uncertainty): subentry reports no uncertainty on the observable
kduq,neutron_elastic,206Pb,7.0,20346025,uncertainty-unresolved,uncertainty unresolved (no-uncertainty): subentry reports no uncertainty on the observable
